path,name,bg_color,t_pos,t_x,t_y,t_ori,d_ori,t_color,d_color,t_shape,d_shape,t_height,d_height,t_height2,d_height2,t_width,d_width
colors,image_rectangle_-90_-30_45_15.png,#808080,1,75.06772385539963,69.76650078563029,-90,-90,#BDA0D3,#EB9B00,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-29_31_0.png,#808080,16,205.46142733979372,352.63175798818975,-90,-90,#6FBD6F,#FF586C,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-28_14_42.png,#808080,45,369.4153242454783,961.2984070172514,-90,-90,#F49600,#9BACCD,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-27_43_10.png,#808080,7,951.1118098715208,79.61891569151595,-90,-90,#A6A8D0,#FF8000,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-26_25_51.png,#808080,26,658.0396938375854,514.2141371707452,-90,-90,#94B815,#FF80C0,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-25_0_25.png,#808080,32,521.229753150246,646.7269180292935,-90,-90,#FF586C,#94B815,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-24_9_33.png,#808080,2,223.9665143350944,83.10886285875439,-90,-90,#FF7A00,#6ABC86,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-23_40_3.png,#808080,26,665.7927398401613,510.82157134685315,-90,-90,#86B2C4,#FF5C49,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-22_2_24.png,#808080,4,519.738282494547,63.67115952060239,-90,-90,#FF5955,#9CB700,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-21_58_19.png,#808080,9,222.0445729802634,205.37586418962815,-90,-90,#FF5C82,#C7AA00,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-20_4_24.png,#808080,44,227.7512469731853,936.4120935668251,-90,-90,#FF603C,#9CB700,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-19_13_32.png,#808080,31,352.12533524701456,657.9759932867593,-90,-90,#FD9100,#6CBC7B,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-18_29_47.png,#808080,46,512.5589138574646,950.5034630969398,-90,-90,#79BC56,#D497D1,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-17_43_0.png,#808080,14,950.3453847438915,210.59501144411763,-90,-90,#A6A8D0,#FF586C,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-16_45_1.png,#808080,11,501.3628253101409,224.50008474003968,-90,-90,#BDA0D3,#FF5860,rectangle,rectangle,75,75,50,50,15,15
colors,image_rectangle_-90_-15_59_14.png,#808080,42,940.3146610855197,808.967571906843,-90,-90,#FF5977,#F49600,rectangle,rectangle,75,75,50,50,15,15
